 gene    name , gene    ENS ,Esophagus-Mucosa
 CHMP1B,ENSG00000255112,0.197795711338523
 TCOF1,ENSG00000070814,0.370766578512563
 NSRP1,ENSG00000126653,-0.126345701538372
 OPA1,ENSG00000198836,0.0668289329878689
 RP11-146D12.2,ENSG00000240240,0.665105882768879
 ITGA1,ENSG00000213949,-0.311992512429142
 ITGA2,ENSG00000164171,2.45259458041874
 ITGA3,ENSG00000005884,0.711588461981456
 ITGA4,ENSG00000115232,-0.981540795109816
 ITGA5,ENSG00000161638,-0.11576446799429
 ITGA6,ENSG00000091409,0.648494863642061
 TRHR,ENSG00000174417,-0.589405679064766
 UFSP1,ENSG00000176125,0.849311154002817
 UFSP2,ENSG00000109775,0.0108972483378317
 MT-CYB,ENSG00000198727,-0.49865360191344
 FAM212B,ENSG00000197852,-0.20444992952401
 FAM212A,ENSG00000185614,2.04524206319404
 CHST9,ENSG00000154080,1.04002752861662
 CHST8,ENSG00000124302,-1.05076174949901
 CHST3,ENSG00000122863,-0.0796290774075417
 CHST2,ENSG00000175040,-2.59769625934641
 CHST5,ENSG00000135702,-1.14524032739224
 CHST4,ENSG00000140835,1.35930474383666
 CHST7,ENSG00000147119,-1.07746442015439
 CHST6,ENSG00000183196,1.31480310949515
 ITGAX,ENSG00000140678,-0.451700274732097
 ITGAV,ENSG00000138448,-0.846445760427476
 ITGAL,ENSG00000005844,0.246444150412648
 ITGAM,ENSG00000169896,-1.4350714607982
 ITGAD,ENSG00000156886,-0.679166138559942
 ITGAE,ENSG00000083457,0.202450261835796
 IGF2R,ENSG00000197081,-0.048725539720489
 SLC36A4,ENSG00000180773,-0.8573672352879
 SLC36A3,ENSG00000186334,0.247425899137043
 CKS1B,ENSG00000173207,1.15912980556921
 SLC36A1,ENSG00000123643,0.258472859997729
 ARTN,ENSG00000117407,0.816564974375338
 ART1,ENSG00000129744,-0.538654717215355
 ART3,ENSG00000156219,-2.38570295893618
 ART5,ENSG00000167311,-0.585308147309281
 AC129492.6,ENSG00000214999,1.76034111456087
 CRTAM,ENSG00000109943,-2.30163256953145
 CADPS2,ENSG00000081803,-1.60762107107742
 RLF,ENSG00000117000,-0.213633845551782
 CRTAP,ENSG00000170275,-0.497911325259212
 ADPGK,ENSG00000159322,0.365459469661857
 CPEB4,ENSG00000113742,0.318080251092298
 CPEB1,ENSG00000214575,-1.04614827213795
 CPEB3,ENSG00000107864,0.489900709606931
 CPEB2,ENSG00000137449,0.398945762726885
 SRBD1,ENSG00000068784,-0.131668960704557
 ABAT,ENSG00000183044,-0.152591451895873
 POU5F1B,ENSG00000212993,1.01293130219336
 CDH22,ENSG00000149654,1.41797907504904
 PHOX2A,ENSG00000165462,-0.675030108522408
 PHOX2B,ENSG00000109132,-0.842869447509472
 UPK2,ENSG00000110375,3.88046232961274
 CFH,ENSG00000000971,0.503073851460382
