 gene    name , gene    ENS ,Lung
 CHMP1B,ENSG00000255112,-0.101382076596723
 TCOF1,ENSG00000070814,-0.129783593695083
 NSRP1,ENSG00000126653,-0.0615872339054181
 OPA1,ENSG00000198836,-0.620435436758405
 RP11-146D12.2,ENSG00000240240,1.67109102763946
 ITGA1,ENSG00000213949,2.42699022913661
 ITGA2,ENSG00000164171,2.53330831515591
 ITGA3,ENSG00000005884,2.23191251442479
 ITGA4,ENSG00000115232,2.50682329474394
 ITGA5,ENSG00000161638,1.82482632554333
 ITGA6,ENSG00000091409,0.31897395149483
 TRHR,ENSG00000174417,-0.0637863735565475
 UFSP1,ENSG00000176125,-1.40096715410378
 UFSP2,ENSG00000109775,-0.454705702358405
 MT-CYB,ENSG00000198727,-0.962234288493542
 FAM212B,ENSG00000197852,-0.267369470802948
 FAM212A,ENSG00000185614,-0.0656301006070593
 CHST9,ENSG00000154080,2.16150417223208
 CHST8,ENSG00000124302,-2.43565497076555
 CHST3,ENSG00000122863,0.407171095691558
 CHST2,ENSG00000175040,0.197352589021059
 CHST5,ENSG00000135702,-0.0974506457951447
 CHST4,ENSG00000140835,2.59191983110759
 CHST7,ENSG00000147119,-0.868545961704833
 CHST6,ENSG00000183196,1.37095749640185
 ITGAX,ENSG00000140678,3.46306178271718
 ITGAV,ENSG00000138448,0.715063485862836
 ITGAL,ENSG00000005844,3.15310189063808
 ITGAM,ENSG00000169896,1.7174404595883
 ITGAD,ENSG00000156886,1.17319004718284
 ITGAE,ENSG00000083457,0.258430785890998
 IGF2R,ENSG00000197081,0.529433700390881
 SLC36A4,ENSG00000180773,-0.0550337174350439
 SLC36A3,ENSG00000186334,-0.0477982648632102
 CKS1B,ENSG00000173207,-0.0824963419057301
 SLC36A1,ENSG00000123643,-0.407620457630037
 ARTN,ENSG00000117407,1.12397143516967
 ART1,ENSG00000129744,1.36855530041584
 ART3,ENSG00000156219,-2.45643750357825
 ART5,ENSG00000167311,0.806241610434549
 AC129492.6,ENSG00000214999,-0.480463702500777
 CRTAM,ENSG00000109943,2.12132681588431
 CADPS2,ENSG00000081803,1.02105030886995
 RLF,ENSG00000117000,0.151132554215052
 CRTAP,ENSG00000170275,0.256852716856757
 ADPGK,ENSG00000159322,0.610263245145722
 CPEB4,ENSG00000113742,0.0241920468629695
 CPEB1,ENSG00000214575,-1.34374293648041
 CPEB3,ENSG00000107864,-0.901743942787643
 CPEB2,ENSG00000137449,-0.476134299656188
 SRBD1,ENSG00000068784,-0.0703314407758179
 ABAT,ENSG00000183044,-1.49743744729969
 POU5F1B,ENSG00000212993,-0.0160321285062653
 CDH22,ENSG00000149654,-2.2464630079954
 PHOX2A,ENSG00000165462,-0.813434893455839
 PHOX2B,ENSG00000109132,-0.627353066093535
 UPK2,ENSG00000110375,-1.09315191914711
 CFH,ENSG00000000971,1.34425721674877
 CFI,ENSG00000205403,1.45952078636299
 ANKFY1,ENSG00000185722,0.0271585976349756
 CFB,ENSG00000243649,1.22500696202089
 OPA3,ENSG00000125741,-0.365323571662276
 AAAS,ENSG00000094914,-0.411861083465192
 SIDT1,ENSG00000072858,0.410047889734933
 SIDT2,ENSG00000149577,0.248469289385787
 SAGE1,ENSG00000181433,0.218653053335294
 RP11-89K11.1,ENSG00000259658,0.331228936434378
 AC093802.1,ENSG00000220256,-0.539609278786155
 C4orf19,ENSG00000154274,1.0775028990101
 SLC7A6OS,ENSG00000103061,-0.246420615466752
 C4orf17,ENSG00000138813,0.246357565134721
 CDH26,ENSG00000124215,0.722084535900514
 ETV3L,ENSG00000253831,-0.460650714459476
 C15orf26,ENSG00000156206,3.02962507348274
