 gene    name , gene    ENS ,Liver
 CHMP1B,ENSG00000255112,-0.546031382312477
 TCOF1,ENSG00000070814,-0.701671483940912
 NSRP1,ENSG00000126653,-0.253059898369701
 OPA1,ENSG00000198836,-0.0327510402389993
 RP11-146D12.2,ENSG00000240240,0.215208137693703
 ITGA1,ENSG00000213949,1.37014974360389
 ITGA2,ENSG00000164171,-2.10876973592925
 ITGA3,ENSG00000005884,-2.91313227113058
 ITGA4,ENSG00000115232,0.223408707613395
 ITGA5,ENSG00000161638,0.192950590294737
 ITGA6,ENSG00000091409,-1.56868485451305
 TRHR,ENSG00000174417,-0.306509189540955
 UFSP1,ENSG00000176125,1.22039378288215
 UFSP2,ENSG00000109775,-0.819544801963982
 MT-CYB,ENSG00000198727,2.06134078127118
 FAM212B,ENSG00000197852,-2.95030112059499
 FAM212A,ENSG00000185614,-2.41373202350537
 CHST9,ENSG00000154080,2.62645158733177
 CHST8,ENSG00000124302,-2.96358607598248
 CHST3,ENSG00000122863,-3.1024624180116
 CHST2,ENSG00000175040,-2.65754165362073
 CHST5,ENSG00000135702,-1.0042027940483
 CHST4,ENSG00000140835,5.49187140941606
 CHST7,ENSG00000147119,0.274527180265946
 CHST6,ENSG00000183196,-3.10187510424833
 ITGAX,ENSG00000140678,0.450929911579958
 ITGAV,ENSG00000138448,-1.65691689354755
 ITGAL,ENSG00000005844,2.79510709402184
 ITGAM,ENSG00000169896,-0.345156148342639
 ITGAD,ENSG00000156886,2.84692887206842
 ITGAE,ENSG00000083457,-0.860945436897803
 IGF2R,ENSG00000197081,0.391796950207638
 SLC36A4,ENSG00000180773,-0.953678917957869
 SLC36A3,ENSG00000186334,-0.341503761559853
 CKS1B,ENSG00000173207,0.921967854963063
 SLC36A1,ENSG00000123643,-1.36749163535412
 ARTN,ENSG00000117407,-0.508478960033134
 ART1,ENSG00000129744,-1.31100738142954
 ART3,ENSG00000156219,-3.89434689280905
 ART5,ENSG00000167311,-0.575983289102884
 AC129492.6,ENSG00000214999,-0.0750620620402535
 CRTAM,ENSG00000109943,0.124711052310977
 CADPS2,ENSG00000081803,0.356692529093645
 RLF,ENSG00000117000,-0.294679712047927
 CRTAP,ENSG00000170275,-1.2479317174781
 ADPGK,ENSG00000159322,0.488921842718411
 CPEB4,ENSG00000113742,0.286850780448765
 CPEB1,ENSG00000214575,-4.36230971128671
 CPEB3,ENSG00000107864,1.65761668921508
 CPEB2,ENSG00000137449,0.321102281894859
 SRBD1,ENSG00000068784,0.00556198382000963
 ABAT,ENSG00000183044,4.45618531293997
 POU5F1B,ENSG00000212993,1.5117291196045
 CDH22,ENSG00000149654,-4.31623877249673
 PHOX2A,ENSG00000165462,-0.585499070046379
 PHOX2B,ENSG00000109132,-0.222804406250889
 UPK2,ENSG00000110375,-1.21403049622551
 CFH,ENSG00000000971,4.66986328993481
 CFI,ENSG00000205403,5.6198163191183
 ANKFY1,ENSG00000185722,-0.365244311737191
 CFB,ENSG00000243649,7.39537061483504
 OPA3,ENSG00000125741,0.450036217757624
 AAAS,ENSG00000094914,0.161694368845427
 SIDT1,ENSG00000072858,-1.0899704135933
 SIDT2,ENSG00000149577,0.154903665745627
 SAGE1,ENSG00000181433,-0.737002907922009
 RP11-89K11.1,ENSG00000259658,-2.58368929144449
 AC093802.1,ENSG00000220256,0.108072175548733
 C4orf19,ENSG00000154274,4.52284049002235
 SLC7A6OS,ENSG00000103061,-0.937331431814014
 C4orf17,ENSG00000138813,0.931890298884612
 CDH26,ENSG00000124215,-0.820227922648201
 ETV3L,ENSG00000253831,-0.47353964862135
 C15orf26,ENSG00000156206,-0.500019091232678
 C15orf27,ENSG00000169758,-0.588012216179455
 ZNF117,ENSG00000152926,-1.32725071820485
 ZNF114,ENSG00000178150,-2.52940955732713
 ZNF112,ENSG00000062370,-0.156781007601743
 SEZ6L,ENSG00000100095,-4.49382013020081
 ITGA8,ENSG00000077943,-2.767383583545
 ITGA9,ENSG00000144668,0.0458923468590016
 PRKAR2A,ENSG00000114302,0.153846664589723
 PRKAR2B,ENSG00000005249,-2.83518578642297
 S1PR5,ENSG00000180739,-0.0567556703757767
 S1PR4,ENSG00000125910,-0.229085811126245
 ITGA2B,ENSG00000005961,-1.70451034410757
 ATP2A3,ENSG00000074370,-0.938469748570907
 PHACTR4,ENSG00000204138,0.819649167070147
