 gene    name , gene    ENS ,Testis
 CHMP1B,ENSG00000255112,-1.34583036842628
 TCOF1,ENSG00000070814,-0.146772550792387
 NSRP1,ENSG00000126653,0.105874129535169
 OPA1,ENSG00000198836,-1.49315520382507
 RP11-146D12.2,ENSG00000240240,2.96579269271446
 ITGA1,ENSG00000213949,-3.07617527584343
 ITGA2,ENSG00000164171,-2.98145555943982
 ITGA3,ENSG00000005884,-3.18780754863126
 ITGA4,ENSG00000115232,-2.88708154728996
 ITGA5,ENSG00000161638,-3.34223639127646
 ITGA6,ENSG00000091409,-0.518880878460107
 TRHR,ENSG00000174417,-1.00612659464043
 UFSP1,ENSG00000176125,-0.988712015974499
 UFSP2,ENSG00000109775,0.383193908920234
 MT-CYB,ENSG00000198727,-1.29414561199093
 FAM212B,ENSG00000197852,-0.840154348439496
 FAM212A,ENSG00000185614,-1.02954908703335
 CHST9,ENSG00000154080,3.29071201433029
 CHST8,ENSG00000124302,0.896352477340576
 CHST3,ENSG00000122863,1.45948834416511
 CHST2,ENSG00000175040,-1.90536338876593
 CHST5,ENSG00000135702,0.98636510694912
 CHST4,ENSG00000140835,1.72634705098357
 CHST7,ENSG00000147119,-2.65107442561033
 CHST6,ENSG00000183196,1.06680701458804
 ITGAX,ENSG00000140678,-3.59243864700344
 ITGAV,ENSG00000138448,-1.83701019845522
 ITGAL,ENSG00000005844,-1.62594642670075
 ITGAM,ENSG00000169896,-1.76062362298018
 ITGAD,ENSG00000156886,-0.849904751388965
 ITGAE,ENSG00000083457,0.0582861652445455
 IGF2R,ENSG00000197081,-1.00508885093341
 SLC36A4,ENSG00000180773,-0.990477874110081
 SLC36A3,ENSG00000186334,9.22766678290126
 CKS1B,ENSG00000173207,0.716698817202734
 SLC36A1,ENSG00000123643,0.607094860845351
 ARTN,ENSG00000117407,1.24035087877657
 ART1,ENSG00000129744,0.571780886494523
 ART3,ENSG00000156219,4.43245077608744
 ART5,ENSG00000167311,6.24788268083824
 AC129492.6,ENSG00000214999,0.260977546659609
 CRTAM,ENSG00000109943,-1.03203226713631
 CADPS2,ENSG00000081803,-1.99717788330525
 RLF,ENSG00000117000,-0.0785590224850517
 CRTAP,ENSG00000170275,-2.21958069554641
 ADPGK,ENSG00000159322,-0.549689922626574
 CPEB4,ENSG00000113742,-1.57477722347834
 CPEB1,ENSG00000214575,2.21201988730122
 CPEB3,ENSG00000107864,1.49545690463906
 CPEB2,ENSG00000137449,0.711008879459612
 SRBD1,ENSG00000068784,0.420085884784579
 ABAT,ENSG00000183044,-0.368265540581044
 POU5F1B,ENSG00000212993,0.0719166783360598
 CDH22,ENSG00000149654,1.57813641575117
 PHOX2A,ENSG00000165462,4.71289782543449
 PHOX2B,ENSG00000109132,2.42929829003708
 UPK2,ENSG00000110375,2.47213492431924
 CFH,ENSG00000000971,-2.98976227059897
 CFI,ENSG00000205403,-2.99323917706813
 ANKFY1,ENSG00000185722,-1.30728463254211
 CFB,ENSG00000243649,-3.20540223216125
 OPA3,ENSG00000125741,-0.107046238209141
 AAAS,ENSG00000094914,0.104370858459939
 SIDT1,ENSG00000072858,0.0218952707752538
 SIDT2,ENSG00000149577,-0.151384008150509
 SAGE1,ENSG00000181433,7.8619038543417
 RP11-89K11.1,ENSG00000259658,2.92555780289281
 AC093802.1,ENSG00000220256,3.1868257128372
 C4orf19,ENSG00000154274,0.516258310249933
 SLC7A6OS,ENSG00000103061,-0.419156644345974
 C4orf17,ENSG00000138813,10.3050986676979
 CDH26,ENSG00000124215,-0.184795624774444
 ETV3L,ENSG00000253831,1.13006495176054
 C15orf26,ENSG00000156206,4.87676548731069
 C15orf27,ENSG00000169758,0.856744989555755
 ZNF117,ENSG00000152926,0.144069096199685
 ZNF114,ENSG00000178150,0.756422988030474
 ZNF112,ENSG00000062370,0.129102139608247
 SEZ6L,ENSG00000100095,-0.569836012160367
 ITGA8,ENSG00000077943,-3.73626799636265
 ITGA9,ENSG00000144668,-0.323617833017632
 PRKAR2A,ENSG00000114302,0.930408435253142
 PRKAR2B,ENSG00000005249,0.350463471090194
 S1PR5,ENSG00000180739,-1.38854895928507
 S1PR4,ENSG00000125910,-2.58166897842545
 ITGA2B,ENSG00000005961,2.00367558685365
 ATP2A3,ENSG00000074370,-2.31816003047583
 PHACTR4,ENSG00000204138,-0.519545954216156
 PHACTR1,ENSG00000112137,-0.914571480088578
 OR2K2,ENSG00000171133,2.25561891124921
 PHACTR3,ENSG00000087495,-1.07326126491642
 KRTAP2-3,ENSG00000212724,-0.371026316112874
 KRTAP2-2,ENSG00000214518,-0.649701379500533
 KRTAP2-1,ENSG00000212725,-0.698491878346874
 KRTAP2-4,ENSG00000213417,-0.938858018876647
 ITGA7,ENSG00000135424,-1.75993811600859
 VMP1,ENSG00000062716,-1.31692659353775
 NR1D1,ENSG00000126368,-2.17033105891446
 NR1D2,ENSG00000174738,-1.92201235982337
 OGFR,ENSG00000060491,-0.758135511087042
 PTCH2,ENSG00000117425,2.32611794113611
 PTCH1,ENSG00000185920,0.960748782609375
 TIMM44,ENSG00000104980,-0.837909095725714
 RAD9B,ENSG00000151164,4.89798783212631
 RAD9A,ENSG00000172613,0.0645153402970161
 ERGIC2,ENSG00000087502,-0.0298401345119444
 ERGIC3,ENSG00000125991,0.853309931912329
 ERGIC1,ENSG00000113719,-1.51610099075011
 B3GAT3,ENSG00000149541,-0.834918111807406
 B3GAT2,ENSG00000112309,-1.03609040257293
 B3GAT1,ENSG00000109956,-1.21466567403349
 CALM2,ENSG00000143933,-0.262528854087434
 TTC30A,ENSG00000197557,2.59476813824572
 TTC30B,ENSG00000196659,2.36398059501619
 SPG20,ENSG00000133104,-0.493814147522425
 GSDMA,ENSG00000167914,-0.836054205277395
 GSDMB,ENSG00000073605,-0.919529681634841
 GSDMC,ENSG00000147697,-0.605726074543193
 GSDMD,ENSG00000104518,-2.02819264633665
 FBXL13,ENSG00000161040,4.8776124582454
 UPK1B,ENSG00000114638,2.34224697946479
 DLGAP2,ENSG00000198010,4.05547538998946
 DLGAP3,ENSG00000116544,3.20649950534903
 DLGAP1,ENSG00000170579,1.78631521631519
 DLGAP4,ENSG00000080845,-1.23027087404425
 DLGAP5,ENSG00000126787,6.85404919632844
 KB-1507C5.2,ENSG00000253320,3.01873486646943
 OIP5,ENSG00000104147,5.12651554296178
 FBXL19,ENSG00000099364,1.52060072402192
 LRRFIP1,ENSG00000124831,-3.41794946739105
 PTPN18,ENSG00000072135,-2.41659644375065
 PTPN13,ENSG00000163629,0.105398272690557
 PTPN12,ENSG00000127947,-1.43118098484579
 PTPN11,ENSG00000179295,-2.11807129673152
 PTPN14,ENSG00000152104,-0.42464612497751
 LYAR,ENSG00000145220,3.31865230773299
 SDK2,ENSG00000069188,3.90735842669388
 TFIP11,ENSG00000100109,0.986896939440132
 C2orf81,ENSG00000159239,3.21291388598087
 C2orf80,ENSG00000188674,-0.356392177295066
 DMRTB1,ENSG00000143006,12.0395290333715
 C2orf82,ENSG00000182600,1.74505605059019
 C2orf88,ENSG00000187699,2.2400881573842
 CDK1,ENSG00000170312,3.45917916243701
 MZB1,ENSG00000170476,-0.687862672127195
 TRAPPC6B,ENSG00000182400,-0.478240683877943
 HLA-DQB1,ENSG00000179344,-2.1029272132781
 HLA-DQB2,ENSG00000232629,-1.5024318631803
 CDK7,ENSG00000134058,1.06095794326625
 FOXS1,ENSG00000179772,0.775146695181096
 AC008060.7,ENSG00000218672,1.88021054193048
 LPAR2,ENSG00000064547,2.66021736102029
 HAPLN4,ENSG00000187664,-2.06807562183015
 THSD1,ENSG00000136114,-1.34284356969581
 CAMKK2,ENSG00000110931,-2.69169777652806
 CAMKK1,ENSG00000004660,-0.194647314940716
 CHST1,ENSG00000175264,0.717636240387759
 CHMP3,ENSG00000115561,-1.0706939679952
 RPL36AL,ENSG00000165502,-0.892476124887538
 CHMP7,ENSG00000147457,-0.331939921249317
 CHMP6,ENSG00000176108,-0.981909054003829
 CHMP5,ENSG00000086065,-0.672266993806999
 OR52N4,ENSG00000181074,0.406994107799241
 OR52N2,ENSG00000180988,3.17833340209762
 LY6G6C,ENSG00000204421,1.34518747244902
 LY6G6D,ENSG00000244355,4.08599127422768
 LY6G6E,ENSG00000255552,1.15902264888468
 LY6G6F,ENSG00000204424,5.40728690295936
 HOXA10,ENSG00000253293,-1.64625146124331
 GALNTL5,ENSG00000106648,9.95028476240773
 GALNTL6,ENSG00000174473,3.19956230874533
 SPECC1,ENSG00000128487,0.998444234913448
 BCL2A1,ENSG00000140379,-2.55287206145222
 TDG,ENSG00000139372,-1.24669434045627
 HN1,ENSG00000189159,2.92913812078025
 ENTPD5,ENSG00000187097,0.128081836224942
 TBX2,ENSG00000121068,-0.81009428845868
 LRRC27,ENSG00000148814,3.61106914124499
 LRRC26,ENSG00000184709,1.36808140133563
 KIAA1524,ENSG00000163507,2.25688469221802
 KIAA1522,ENSG00000162522,-0.751249243865276
 MPDU1,ENSG00000129255,-0.450814298060931
 LRRC28,ENSG00000168904,0.920154890771428
 GCNT4,ENSG00000176928,0.208006200588189
 GCNT6,ENSG00000205318,0.242758831037719
 GCNT3,ENSG00000140297,5.45692992799147
 GCNT2,ENSG00000111846,0.143058633354011
 TBX3,ENSG00000135111,-2.63450607505291
 LPCAT2,ENSG00000087253,-1.6107359715028
 LPCAT3,ENSG00000111684,-1.03099407285509
 LPCAT1,ENSG00000153395,-1.76719339640992
 TAGLN,ENSG00000149591,-1.97172634137001
 CCDC178,ENSG00000166960,5.45491358874104
 CCDC179,ENSG00000255359,9.93649435057245
 CCDC170,ENSG00000120262,2.4393270783476
 CCDC171,ENSG00000164989,2.8330082622287
 CCDC172,ENSG00000182645,9.89201226834867
 CCDC173,ENSG00000154479,7.81879057921262
 CCDC174,ENSG00000154781,0.267144186199381
 CCDC175,ENSG00000151838,2.60038221343101
 CCDC176,ENSG00000119636,2.68649754416266
 CCDC177,ENSG00000267909,-0.555104640888697
 PDK1,ENSG00000152256,-0.16574938005725
 PDK4,ENSG00000004799,-2.92642655711707
 LNPEP,ENSG00000113441,-1.54162766219614
 ALPI,ENSG00000163295,2.07852019103309
 SEC61A1,ENSG00000058262,-0.959040795583273
 SEC61A2,ENSG00000065665,0.994424577658404
